Lesson,Question ID,Type,Question,Options,Correct Answer,Explanation,Current Difficulty Tag,Difficulty Band,Status
gulliver-lo-1-3,glo13-aq1,applied-question,Why might the entrepreneur choose Country A even though Country B has more potential customers?,A. Because Country A's stronger economic environment makes the shop far less risky | B. Because a large customer base rarely matters as much as people assume | C. Because Country B's higher taxes would eat up all of the shop's profit | D. Because a bigger market always comes with much higher rent and wages,A. Because Country A's stronger economic environment makes the shop far less risky,"A stronger economic environment can outweigh a bigger customer base, because it directly lowers the risk of operating and protects the business's profits.",0.5,Hard,existing
gulliver-lo-1-3,glo13-mx-1,mastery-check,What does 'enforceable contracts' mean for a business owner?,A. Contracts are optional suggestions with no legal weight | B. Courts will make sure agreements are actually honored | C. Only the government is allowed to sign any contracts | D. Contracts can be broken freely with no consequences,B. Courts will make sure agreements are actually honored,"Enforceable contracts mean the courts back up business agreements, which protects entrepreneurs from being cheated.",-1,Easy,existing
gulliver-lo-1-3,glo13-mx-2,mastery-check,"Why does a stable, tradable currency matter to a business?","A. It has no real effect on a business at all | B. It protects profits and enables trade in world markets | C. It only matters for governments, never for businesses | D. It guarantees a business will always be profitable",B. It protects profits and enables trade in world markets,A stable currency protects the real value of a business's earnings and enables trade with the rest of the world.,-1,Easy,existing
gulliver-lo-1-3,glo13-mx-3,mastery-check,How does corruption in business and government generally affect entrepreneurs?,"A. It raises the cost and unpredictability of doing business, so risk goes up | B. It mostly affects large corporations, while small businesses are left alone | C. It tends to speed up approvals, which actually helps businesses move faster | D. It only becomes a problem once a business tries to expand overseas","A. It raises the cost and unpredictability of doing business, so risk goes up","Corruption raises the cost and unpredictability of doing business, increasing overall risk for entrepreneurs.",-0.5,Easy,existing
gulliver-lo-1-3,glo13-mx-4,mastery-check,What is the general relationship between tax/regulation levels and business risk?,"A. Lower taxes and lighter regulation generally lower a business's risk | B. Higher taxes and heavier regulation generally lower a business's risk | C. Taxes matter to businesses, but regulations have almost no effect on risk | D. The tax level matters far less than the size of the local market",A. Lower taxes and lighter regulation generally lower a business's risk,"Lower taxes and lighter regulation reduce the cost and risk of doing business, generally supporting more growth.",0,Medium,existing
gulliver-lo-1-3,glo13-mx-5,mastery-check,"A country allows private ownership but has an unstable, hard-to-trade currency. What's the likely effect on entrepreneurs there?","A. Private ownership helps, but the unstable currency still adds real, separate risk | B. Private ownership by itself is enough to cancel out almost any currency problem | C. The currency only matters for businesses that plan to trade internationally | D. An unstable currency mainly hurts the government, not private businesses","A. Private ownership helps, but the unstable currency still adds real, separate risk","Each part of the economic environment matters: private ownership helps, but an unstable currency is still a serious separate risk.",1,Hard,existing
gulliver-lo-1-3,glo13-mx-6,mastery-check,"From a government's perspective, why might keeping taxes and regulations moderate benefit the country overall?","A. More business activity can grow the total tax base, even at a lower rate | B. Lower rates always bring in more total tax money than higher rates do | C. Moderate taxes mostly help the government look good without changing much | D. Businesses will relocate no matter what, so the tax rate makes little difference","A. More business activity can grow the total tax base, even at a lower rate","Moderate taxes and regulation can encourage more business activity, which can grow the overall tax base even at a lower rate.",1,Hard,existing
gulliver-lo-1-3,glo13-mx-7,mastery-check,Which combination describes an economic environment that LOWERS risk for entrepreneurs?,"A. Private ownership, enforceable contracts, and a stable, tradable currency | B. Private ownership and low corruption, but with contracts courts won't enforce | C. Enforceable contracts and a stable currency, but with widespread corruption | D. Private ownership and a growing market, but with an unstable local currency","A. Private ownership, enforceable contracts, and a stable, tradable currency","Private ownership, enforceable contracts, currency stability, and low corruption together create a lower-risk environment for entrepreneurs.",0,Medium,existing
gulliver-lo-1-3,glo13-mx-8,mastery-check,What does it mean for a country to allow 'private ownership' of businesses?,A. Individual people and companies are allowed to own businesses themselves | B. Only the national government is allowed to own businesses | C. Every business must be owned equally by all citizens | D. No one is permitted to own a business at all,A. Individual people and companies are allowed to own businesses themselves,"Private ownership means individuals and companies, not just the government, can own businesses, one of the basic protections that lowers risk for entrepreneurs.",-1.5,Easy,existing
gulliver-lo-1-4,glo14-aq1,applied-question,"Why did the new ordering system improve efficiency specifically, not just productivity?","A. It cut the wasted food from wrong orders, so fewer resources are used per meal | B. It let the kitchen serve more tables per hour, which is really productivity | C. It mainly made the servers work faster than they used to before | D. It raised the price of each meal, so the restaurant keeps more per order","A. It cut the wasted food from wrong orders, so fewer resources are used per meal",Cutting down on wasted food from mistaken orders is specifically an efficiency gain: using fewer resources per unit produced.,1,Hard,existing
